mouseX: 472 | mouseY: 51 20160707-19:29:55
mouseX: 458 | mouseY: 77 20160707-19:29:55
mouseX: 449 | mouseY: 95 20160707-19:29:55
mouseX: 436 | mouseY: 144 20160707-19:29:55
mouseX: 435 | mouseY: 160 20160707-19:29:55
mouseX: 434 | mouseY: 188 20160707-19:29:55
mouseX: 438 | mouseY: 195 20160707-19:29:55
mouseX: 465 | mouseY: 203 20160707-19:29:55
mouseX: 483 | mouseY: 204 20160707-19:29:55
mouseX: 553 | mouseY: 185 20160707-19:29:55
mouseX: 572 | mouseY: 174 20160707-19:29:55
mouseX: 598 | mouseY: 152 20160707-19:29:55
mouseX: 598 | mouseY: 152 20160707-19:29:55
mouseX: 598 | mouseY: 152 20160707-19:29:55
mouseX: 598 | mouseY: 152 20160707-19:29:55
mouseX: 597 | mouseY: 58 20160707-19:29:55
mouseX: 592 | mouseY: 53 20160707-19:29:55
mouseX: 592 | mouseY: 51 20160707-19:29:55
mouseX: 592 | mouseY: 51 20160707-19:29:55
mouseX: 592 | mouseY: 49 20160707-19:29:55
mouseX: 592 | mouseY: 46 20160707-19:29:55
mouseX: 591 | mouseY: 37 20160707-19:29:55
mouseX: 588 | mouseY: 30 20160707-19:29:55
mouseX: 582 | mouseY: 21 20160707-19:29:55
mouseX: 578 | mouseY: 18 20160707-19:29:55
mouseX: 575 | mouseY: 16 20160707-19:29:55
mouseX: 575 | mouseY: 16 20160707-19:29:55
mouseX: 575 | mouseY: 14 20160707-19:29:55
mouseX: 574 | mouseY: 13 20160707-19:29:55
mouseX: 573 | mouseY: 11 20160707-19:29:55
mouseX: 573 | mouseY: 11 20160707-19:29:55
mouseX: 573 | mouseY: 10 20160707-19:29:55
mouseX: 573 | mouseY: 9 20160707-19:29:55
mouseX: 573 | mouseY: 6 20160707-19:29:55
mouseX: 573 | mouseY: 3 20160707-19:29:55
mouseX: 573 | mouseY: 0 20160707-19:29:55
mouseX: 573 | mouseY: 0 20160707-19:29:55
mouseX: 573 | mouseY: 0 20160707-19:29:55
mouseX: 573 | mouseY: 0 20160707-19:29:55
mouseX: 573 | mouseY: 0 20160707-19:29:55
mouseX: 573 | mouseY: 0 20160707-19:29:55
mouseX: 573 | mouseY: 0 20160707-19:29:55
mouseX: 573 | mouseY: 0 20160707-19:29:55
mouseX: 573 | mouseY: 0 20160707-19:29:55
mouseX: 573 | mouseY: 0 20160707-19:29:55
mouseX: 573 | mouseY: 0 20160707-19:29:55
